seed,method,query_index,query_type,retrieve_tool,process_tool,reward,cost_tokens,latency_ms
0,pheromone_router,0,factual-lookup,knowledge_base,calculator,0.0552448496072266,180,25
0,pheromone_router,1,text-summarization,vector_db,small_llm,0.4605495941551373,1150,105
0,pheromone_router,2,code-snippet,knowledge_base,small_llm,0.05970798618295711,1120,110
0,pheromone_router,3,code-snippet,vector_db,small_llm,0.3383484010319495,1150,105
0,pheromone_router,4,math-calculation,vector_db,small_llm,-0.07255258977770734,1150,105
0,pheromone_router,5,math-calculation,vector_db,small_llm,-0.05418955769484987,1150,105
0,pheromone_router,6,math-calculation,web_search,small_llm,-0.1190494296317299,1500,150
0,pheromone_router,7,factual-lookup,knowledge_base,small_llm,0.34564000493959035,1120,110
0,pheromone_router,8,text-summarization,web_search,small_llm,0.28483029604599314,1500,150
0,pheromone_router,9,text-summarization,web_search,small_llm,0.20753537594651367,1500,150
0,pheromone_router,10,factual-lookup,vector_db,small_llm,0.17009114939354955,1150,105
0,pheromone_router,11,factual-lookup,web_search,small_llm,0.18982450596766748,1500,150
0,pheromone_router,12,math-calculation,web_search,small_llm,-0.1262792327276413,1500,150
0,pheromone_router,13,code-snippet,web_search,small_llm,0.23864523957032008,1500,150
0,pheromone_router,14,text-summarization,web_search,small_llm,0.2213069985670843,1500,150
0,pheromone_router,15,math-calculation,web_search,calculator,0.09126971043700344,560,65
0,pheromone_router,16,factual-lookup,web_search,small_llm,0.24931530066367164,1500,150
0,pheromone_router,17,math-calculation,knowledge_base,small_llm,-0.03582776861928799,1120,110
0,pheromone_router,18,factual-lookup,web_search,small_llm,0.26627174345030774,1500,150
0,pheromone_router,19,code-snippet,knowledge_base,small_llm,0.09975881448660365,1120,110
0,pheromone_router,20,code-snippet,knowledge_base,small_llm,0.17252065364035576,1120,110
0,pheromone_router,21,code-snippet,vector_db,regex_processor,0.40597304409186036,230,25
0,pheromone_router,22,factual-lookup,web_search,small_llm,0.2552193795326328,1500,150
0,pheromone_router,23,math-calculation,vector_db,small_llm,-0.06798963434625385,1150,105
0,pheromone_router,24,code-snippet,vector_db,regex_processor,0.43255135599866196,230,25
0,pheromone_router,25,text-summarization,web_search,small_llm,0.20946409882309774,1500,150
0,pheromone_router,26,math-calculation,web_search,small_llm,-0.17316739537631926,1500,150
0,pheromone_router,27,factual-lookup,vector_db,small_llm,0.11268042856422403,1150,105
0,pheromone_router,28,text-summarization,web_search,small_llm,0.24750995154701788,1500,150
0,pheromone_router,29,text-summarization,knowledge_base,small_llm,0.27066726267425667,1120,110
0,pheromone_router,30,code-snippet,web_search,regex_processor,0.32134816789258774,580,70
0,pheromone_router,31,code-snippet,vector_db,small_llm,0.3087358512141778,1150,105
0,pheromone_router,32,code-snippet,web_search,regex_processor,0.3067144697730385,580,70
0,pheromone_router,33,factual-lookup,web_search,small_llm,0.2341020385447639,1500,150
0,pheromone_router,34,factual-lookup,web_search,small_llm,0.2835281682381569,1500,150
0,pheromone_router,35,math-calculation,vector_db,small_llm,-0.0065400065619083125,1150,105
0,pheromone_router,36,text-summarization,knowledge_base,small_llm,0.2741512263609208,1120,110
0,pheromone_router,37,text-summarization,web_search,regex_processor,0.013048010327605553,580,70
0,pheromone_router,38,factual-lookup,web_search,small_llm,0.18827064709669905,1500,150
0,pheromone_router,39,factual-lookup,web_search,small_llm,0.23244801003583654,1500,150
0,pheromone_router,40,math-calculation,web_search,small_llm,-0.14789505957539456,1500,150
0,pheromone_router,41,code-snippet,web_search,small_llm,0.1846502374183896,1500,150
0,pheromone_router,42,code-snippet,vector_db,small_llm,0.3302598273769273,1150,105
0,pheromone_router,43,text-summarization,vector_db,small_llm,0.456183542722309,1150,105
0,pheromone_router,44,math-calculation,web_search,small_llm,-0.15545446520576134,1500,150
0,pheromone_router,45,factual-lookup,web_search,calculator,0.0030949466858038593,560,65
0,pheromone_router,46,text-summarization,knowledge_base,small_llm,0.2071755316792979,1120,110
0,pheromone_router,47,factual-lookup,web_search,small_llm,0.2071908500929021,1500,150
0,pheromone_router,48,text-summarization,web_search,small_llm,0.22879501829954957,1500,150
0,pheromone_router,49,factual-lookup,knowledge_base,small_llm,0.25321583253034186,1120,110
0,pheromone_router,50,text-summarization,knowledge_base,small_llm,0.298352543805232,1120,110
0,pheromone_router,51,math-calculation,knowledge_base,small_llm,-0.055035936192387586,1120,110
0,pheromone_router,52,code-snippet,web_search,small_llm,0.12349888533997389,1500,150
0,pheromone_router,53,math-calculation,vector_db,small_llm,-0.06049145510895501,1150,105
0,pheromone_router,54,math-calculation,vector_db,regex_processor,0.08750655962166128,230,25
0,pheromone_router,55,math-calculation,knowledge_base,small_llm,-0.014390251008183641,1120,110
0,pheromone_router,56,math-calculation,vector_db,small_llm,-0.04816919723257129,1150,105
0,pheromone_router,57,text-summarization,knowledge_base,regex_processor,0.11920558933587773,200,30
0,pheromone_router,58,code-snippet,web_search,regex_processor,0.22606975965546006,580,70
0,pheromone_router,59,text-summarization,web_search,small_llm,0.2303178933858025,1500,150
0,pheromone_router,60,code-snippet,vector_db,small_llm,0.4787855109959468,1150,105
0,pheromone_router,61,math-calculation,vector_db,regex_processor,0.10558491920686898,230,25
0,pheromone_router,62,factual-lookup,knowledge_base,small_llm,0.20287958104434936,1120,110
0,pheromone_router,63,factual-lookup,web_search,small_llm,0.3124861656144093,1500,150
0,pheromone_router,64,code-snippet,vector_db,small_llm,0.3429911225639314,1150,105
0,pheromone_router,65,code-snippet,web_search,small_llm,0.1744222692469063,1500,150
0,pheromone_router,66,text-summarization,web_search,small_llm,0.16885886529886168,1500,150
0,pheromone_router,67,factual-lookup,knowledge_base,small_llm,0.2574507851337774,1120,110
0,pheromone_router,68,text-summarization,knowledge_base,small_llm,0.2663734319114166,1120,110
0,pheromone_router,69,factual-lookup,knowledge_base,small_llm,0.21986642384263125,1120,110
0,pheromone_router,70,text-summarization,web_search,small_llm,0.27878737832360606,1500,150
0,pheromone_router,71,code-snippet,web_search,small_llm,0.07394802138521683,1500,150
0,pheromone_router,72,factual-lookup,web_search,small_llm,0.24587273711007945,1500,150
0,pheromone_router,73,math-calculation,web_search,small_llm,-0.1840912123501994,1500,150
0,pheromone_router,74,math-calculation,knowledge_base,small_llm,-0.040814395954829635,1120,110
0,pheromone_router,75,text-summarization,vector_db,small_llm,0.5412651336689095,1150,105
0,pheromone_router,76,text-summarization,web_search,small_llm,0.30299495067996224,1500,150
0,pheromone_router,77,text-summarization,web_search,small_llm,0.23593517663354185,1500,150
0,pheromone_router,78,factual-lookup,web_search,small_llm,0.22482096761644904,1500,150
0,pheromone_router,79,math-calculation,vector_db,regex_processor,0.06993857803309446,230,25
0,pheromone_router,80,code-snippet,knowledge_base,small_llm,0.12590926129977045,1120,110
0,pheromone_router,81,factual-lookup,vector_db,small_llm,0.1795434512112716,1150,105
0,pheromone_router,82,code-snippet,web_search,small_llm,0.16753850011245863,1500,150
0,pheromone_router,83,text-summarization,vector_db,small_llm,0.5467103041796122,1150,105
0,pheromone_router,84,math-calculation,vector_db,calculator,0.23612633885933784,210,20
0,pheromone_router,85,text-summarization,knowledge_base,small_llm,0.2150987905447351,1120,110
0,pheromone_router,86,code-snippet,web_search,small_llm,0.1652087349168584,1500,150
0,pheromone_router,87,code-snippet,web_search,small_llm,0.27696814493303284,1500,150
0,pheromone_router,88,factual-lookup,web_search,regex_processor,0.05285393602696356,580,70
0,pheromone_router,89,factual-lookup,vector_db,small_llm,0.27407276968773175,1150,105
0,pheromone_router,90,factual-lookup,vector_db,small_llm,0.20176779680923,1150,105
0,pheromone_router,91,code-snippet,web_search,small_llm,0.33773066179344907,1500,150
0,pheromone_router,92,math-calculation,knowledge_base,small_llm,-0.0419976646360834,1120,110
0,pheromone_router,93,math-calculation,vector_db,small_llm,-0.08303561045593671,1150,105
0,pheromone_router,94,text-summarization,knowledge_base,small_llm,0.294641502395361,1120,110
0,pheromone_router,95,math-calculation,knowledge_base,regex_processor,0.11306535004123212,200,30
0,pheromone_router,96,code-snippet,web_search,small_llm,0.20770892590901874,1500,150
0,pheromone_router,97,text-summarization,knowledge_base,small_llm,0.23914169781596642,1120,110
0,pheromone_router,98,math-calculation,web_search,regex_processor,-0.003932803795730411,580,70
0,pheromone_router,99,code-snippet,web_search,regex_processor,0.26000950876233586,580,70
0,random,0,factual-lookup,web_search,regex_processor,0.09088751989642921,580,70
0,random,1,text-summarization,knowledge_base,calculator,-0.010783535551169454,180,25
0,random,2,code-snippet,vector_db,regex_processor,0.4156102029335061,230,25
0,random,3,code-snippet,vector_db,small_llm,0.3072895361020318,1150,105
0,random,4,math-calculation,vector_db,small_llm,-0.07902394764378781,1150,105
0,random,5,math-calculation,web_search,calculator,0.0938079308888351,560,65
0,random,6,math-calculation,knowledge_base,calculator,0.34849880073978073,180,25
0,random,7,factual-lookup,knowledge_base,calculator,0.04714987287053077,180,25
0,random,8,text-summarization,knowledge_base,regex_processor,0.08264795805052981,200,30
0,random,9,text-summarization,web_search,small_llm,0.2065614166894822,1500,150
0,random,10,factual-lookup,web_search,small_llm,0.25624480974036784,1500,150
0,random,11,factual-lookup,vector_db,small_llm,0.2190685284763004,1150,105
0,random,12,math-calculation,vector_db,regex_processor,0.08091332460356294,230,25
0,random,13,code-snippet,vector_db,regex_processor,0.40736990594785805,230,25
0,random,14,text-summarization,web_search,regex_processor,0.056508756341951516,580,70
0,random,15,math-calculation,knowledge_base,small_llm,0.05204533226128924,1120,110
0,random,16,factual-lookup,knowledge_base,calculator,0.05904571605877987,180,25
0,random,17,math-calculation,knowledge_base,calculator,0.30677729334399584,180,25
0,random,18,factual-lookup,web_search,regex_processor,0.08679436767761506,580,70
0,random,19,code-snippet,web_search,small_llm,0.14178274401215052,1500,150
0,random,20,code-snippet,vector_db,regex_processor,0.4174995995822149,230,25
0,random,21,code-snippet,vector_db,regex_processor,0.40989767301702174,230,25
0,random,22,factual-lookup,web_search,calculator,0.010667631141245776,560,65
0,random,23,math-calculation,vector_db,calculator,0.26160144871299434,210,20
0,random,24,code-snippet,vector_db,regex_processor,0.4417740386010598,230,25
0,random,25,text-summarization,vector_db,small_llm,0.49459538909571443,1150,105
0,random,26,math-calculation,web_search,small_llm,-0.10413399046094524,1500,150
0,random,27,factual-lookup,knowledge_base,small_llm,0.20405719252047164,1120,110
0,random,28,text-summarization,web_search,small_llm,0.26934253966830995,1500,150
0,random,29,text-summarization,knowledge_base,small_llm,0.24026971043700343,1120,110
0,random,30,code-snippet,web_search,calculator,5.7053321040362315e-05,560,65
0,random,31,code-snippet,web_search,small_llm,0.25220357556745104,1500,150
0,random,32,code-snippet,vector_db,small_llm,0.2659886912724524,1150,105
0,random,33,factual-lookup,knowledge_base,calculator,0.08034571500113255,180,25
0,random,34,factual-lookup,web_search,calculator,0.007752763437066712,560,65
0,random,35,math-calculation,knowledge_base,small_llm,-0.03934863022173238,1120,110
0,random,36,text-summarization,knowledge_base,regex_processor,0.09069270221352783,200,30
0,random,37,text-summarization,knowledge_base,calculator,-0.013174644859893118,180,25
0,random,38,factual-lookup,web_search,small_llm,0.3120514790771342,1500,150
0,random,39,factual-lookup,vector_db,calculator,0.07644598712041231,210,20
0,random,40,math-calculation,web_search,small_llm,-0.13818339876176253,1500,150
0,random,41,code-snippet,knowledge_base,calculator,0.020519054150002283,180,25
0,random,42,code-snippet,knowledge_base,calculator,0.04339367481456846,180,25
0,random,43,text-summarization,web_search,regex_processor,-0.004444378419368886,580,70
0,random,44,math-calculation,vector_db,calculator,0.27693359745851726,210,20
0,random,45,factual-lookup,web_search,regex_processor,0.14211324133862613,580,70
0,random,46,text-summarization,knowledge_base,regex_processor,0.08797200838440399,200,30
